Date,From Amount,To Amount,Conversion Type,Rate Used
"Mar 30, 2025, 07:34 PM",300.00,192000.00,SAR to SDG,640.000000
"Mar 15, 2025, 07:33 PM",518400.00,767.75,SDG to SAR,0.001481
"Feb 26, 2025, 07:32 PM",154940.00,240.00,SDG to SAR,0.001549
"Feb 25, 2025, 07:30 PM",350.00,224000.00,SAR to SDG,640.000000
"Feb 10, 2025, 07:28 PM",673000.00,1000.08,SDG to SAR,0.001486
"Feb 6, 2025, 07:27 PM",290250.00,429.86,SDG to SAR,0.001481
"Feb 5, 2025, 07:26 PM",300.00,195600.00,SAR to SDG,652.000000
"Feb 3, 2025, 07:22 PM",391000.00,575.16,SDG to SAR,0.001471
"Jan 11, 2025, 07:19 PM",953.00,620000.00,SAR to SDG,650.577125
"Jan 2, 2025, 07:17 PM",300.00,183000.00,SAR to SDG,610.000000
"Dec 6, 2024, 07:15 PM",400.00,240000.00,SAR to SDG,600.000000
"Dec 4, 2024, 07:13 PM",500.00,305000.00,SAR to SDG,610.000000